company_id,ticker,company_name,market,is_active,created_at
1588,11B,11BIT,GPW,True,2026-01-07 09:00:51.734888
1590,ABE,ABPL,GPW,True,2026-01-07 09:00:51.735889
1593,ACP,ASSECOPOL,GPW,True,2026-01-07 09:00:51.736891
1609,APR,AUTOPARTN,GPW,True,2026-01-07 09:00:51.740891
1615,ASB,ASBIS,GPW,True,2026-01-07 09:00:51.741890
1616,ASE,ASSECOSEE,GPW,True,2026-01-07 09:00:51.741890
1625,ATT,GRUPAAZOTY,GPW,True,2026-01-07 09:00:51.743892
1635,BFT,BENEFIT,GPW,True,2026-01-07 09:00:51.746891
1637,BHW,HANDLOWY,GPW,True,2026-01-07 09:00:51.746891
1643,BNP,BNPPPL,GPW,True,2026-01-07 09:00:51.749892
1650,CAR,INTERCARS,GPW,True,2026-01-07 09:00:51.752892
1652,CBF,CYBERFLKS,GPW,True,2026-01-07 09:00:51.753889
1673,CPS,CYFRPLSAT,GPW,True,2026-01-07 09:00:51.760888
1691,DIA,DIAG,GPW,True,2026-01-07 09:00:51.768891
1695,DOM,DOMDEV,GPW,True,2026-01-07 09:00:51.771891
1697,DVL,DEVELIA,GPW,True,2026-01-07 09:00:51.771891
1699,EAT,AMREST,GPW,True,2026-01-07 09:00:51.772899
1709,ENA,ENEA,GPW,True,2026-01-07 09:00:51.774891
1721,EUR,EUROCASH,GPW,True,2026-01-07 09:00:51.777897
1738,GPP,GRUPRACUJ,GPW,True,2026-01-07 09:00:51.783892
1739,GPW,GPW,GPW,True,2026-01-07 09:00:51.784890
1750,HUG,HUUUGE,GPW,True,2026-01-07 09:00:51.788890
1762,ING,INGBSK,GPW,True,2026-01-07 09:00:51.790889
1774,JSW,JSW,GPW,True,2026-01-07 09:00:51.793890
1795,LBW,LUBAWA,GPW,True,2026-01-07 09:00:51.798888
1809,MBR,MOBRUK,GPW,True,2026-01-07 09:00:51.802892
1819,MIL,MILLENNIUM,GPW,True,2026-01-07 09:00:51.804886
1830,MRB,MIRBUD,GPW,True,2026-01-07 09:00:51.806887
1841,NEU,NEUCA,GPW,True,2026-01-07 09:00:51.808886
1849,NWG,NEWAG,GPW,True,2026-01-07 09:00:51.809887
1874,PEP,PEP,GPW,True,2026-01-07 09:00:51.813887
1902,RBW,RAINBOW,GPW,True,2026-01-07 09:00:51.820887
1934,SNT,SYNEKTIK,GPW,True,2026-01-07 09:00:51.825887
1950,TEN,TSGAMES,GPW,True,2026-01-07 09:00:51.828887
1957,TPE,TAURONPE,GPW,True,2026-01-07 09:00:51.829889
1963,TXT,TEXT,GPW,True,2026-01-07 09:00:51.830887
1974,VOX,VOXEL,GPW,True,2026-01-07 09:00:51.833890
1975,VRC,VERCOM,GPW,True,2026-01-07 09:00:51.833890
1983,WPL,WIRTUALNA,GPW,True,2026-01-07 09:00:51.835887
1989,XTB,XTB,GPW,True,2026-01-07 09:00:51.836887
